amt,category,merchant,payment_method,distance_km,hour,is_international,cvv_matches,is_fraud
43.41,travel,Starbucks,Credit_Card,21.38,21,0,1,0
482.71,travel,Steam,Credit_Card,4016.52,0,1,1,1
937.33,shopping_net,Chevron,Digital_Wallet,48.06,1,0,0,1
536.5,travel,Amazon,Credit_Card,3348.45,21,1,1,1
3089.23,misc_net,Amazon,Wire_Transfer,460.06,9,1,1,1
81.15,grocery_pos,Chevron,Credit_Card,2.46,15,0,1,0
1071.86,travel,Unknown_Foreign_Store,Credit_Card,690.59,2,1,0,1
67.68,shopping_net,Walmart,Debit_Card,4.93,16,0,1,0
145.53,travel,Chevron,Credit_Card,4943.12,10,1,1,1
68.49,entertainment,Chevron,Credit_Card,0.75,15,0,1,0
15.01,misc_net,Starbucks,Credit_Card,16.12,13,0,1,0
4570.04,misc_net,Amazon,Wire_Transfer,377.25,14,1,1,1
46.78,misc_net,Starbucks,Credit_Card,6.18,21,0,1,0
49.37,gas_transport,Chevron,Credit_Card,13.28,8,0,1,0
160.27,travel,Walmart,Credit_Card,1149.14,16,1,1,1
897.6,shopping_net,Unknown_Foreign_Store,Digital_Wallet,42.36,23,0,0,1
781.14,shopping_net,Starbucks,Digital_Wallet,43.81,23,0,0,1
5934.14,misc_net,Starbucks,Wire_Transfer,400.73,10,1,1,1
899.92,shopping_net,Steam,Digital_Wallet,38.58,0,0,1,1
750.22,travel,Unknown_Foreign_Store,Credit_Card,2242.67,20,1,1,1
5827.66,misc_net,Unknown_Foreign_Store,Wire_Transfer,238.01,9,1,0,1
33.04,travel,Delta Air,Credit_Card,1896.21,14,1,0,1
652.63,travel,Amazon,Credit_Card,4912.43,14,1,1,1
319.25,travel,Amazon,Credit_Card,1860.66,4,1,0,1
6.97,grocery_pos,Amazon,Credit_Card,8.97,11,0,1,0
21.89,gas_transport,Amazon,Credit_Card,15.51,11,0,1,0
1520.36,shopping_net,Steam,Digital_Wallet,40.48,0,0,0,1
365.29,travel,Chevron,Credit_Card,4066.39,10,1,1,1
6182.89,misc_net,Starbucks,Wire_Transfer,295.84,12,1,1,1
69.25,grocery_pos,Chevron,Credit_Card,22.99,18,0,1,0
489.74,travel,Delta Air,Credit_Card,4261.04,11,1,0,1
66.7,gas_transport,Chevron,Credit_Card,21.05,15,0,1,0
1531.28,shopping_net,Unknown_Foreign_Store,Digital_Wallet,37.66,2,0,0,1
33.2,shopping_net,Amazon,Credit_Card,13.76,11,0,1,0
107.47,grocery_pos,Chevron,Credit_Card,17.59,14,0,1,0
537.35,travel,Starbucks,Credit_Card,2723.45,0,1,1,1
6030.01,misc_net,Chevron,Wire_Transfer,139.86,10,1,1,1
3579.66,misc_net,Unknown_Foreign_Store,Wire_Transfer,271.36,13,1,1,1
2.9,travel,Chevron,Credit_Card,21.42,18,0,1,0
97.12,grocery_pos,Starbucks,Credit_Card,9.62,8,0,1,0
63.84,misc_net,Walmart,Credit_Card,3.45,14,0,1,0
379.95,travel,Chevron,Credit_Card,4992.59,9,1,0,1
54.89,travel,Amazon,Debit_Card,8.92,19,0,1,0
5281.6,misc_net,Chevron,Wire_Transfer,267.04,12,1,1,1
412.12,travel,Chevron,Credit_Card,1667.6,6,1,0,1
98.6,gas_transport,Amazon,Digital_Wallet,21.58,10,0,1,0
426.03,travel,Steam,Credit_Card,4601.33,4,1,0,1
47.13,gas_transport,Amazon,Credit_Card,18.97,18,0,1,0
36.74,gas_transport,Chevron,Debit_Card,28.29,12,0,1,0
5345.09,misc_net,Amazon,Wire_Transfer,365.04,10,1,1,1
4188.39,misc_net,Amazon,Wire_Transfer,400.75,15,1,1,1
4721.01,misc_net,Delta Air,Wire_Transfer,131.36,10,1,0,1
47.07,entertainment,Starbucks,Credit_Card,25.71,8,0,1,0
56.08,gas_transport,Chevron,Credit_Card,14.06,16,0,1,0
69.9,gas_transport,Starbucks,Debit_Card,28.25,12,0,1,0
6174.81,misc_net,Steam,Wire_Transfer,275.46,13,1,1,1
20.01,travel,Starbucks,Credit_Card,6.62,17,0,1,0
3438.96,misc_net,Walmart,Wire_Transfer,174.48,9,1,0,1
42.62,travel,Chevron,Credit_Card,9.68,11,0,1,0
522.2,travel,Starbucks,Credit_Card,2074.43,5,1,1,1
48.71,misc_net,Starbucks,Digital_Wallet,3.22,17,0,1,0
173.83,travel,Chevron,Credit_Card,2521.09,3,1,1,1
57.36,gas_transport,Starbucks,Credit_Card,4.38,20,0,1,0
231.27,travel,Steam,Credit_Card,1744.21,10,1,1,1
76.23,grocery_pos,Amazon,Credit_Card,28.18,8,0,1,0
32.92,grocery_pos,Amazon,Credit_Card,10.04,15,0,1,0
5002.9,misc_net,Starbucks,Wire_Transfer,485.68,13,1,1,1
5428.82,misc_net,Delta Air,Wire_Transfer,134.27,14,1,0,1
4452.78,misc_net,Amazon,Wire_Transfer,392.52,9,1,1,1
6335.47,misc_net,Starbucks,Wire_Transfer,260.7,14,1,1,1
5740.33,misc_net,Walmart,Wire_Transfer,119.92,13,1,0,1
43.77,travel,Chevron,Credit_Card,14.34,10,0,1,0
408.19,travel,Walmart,Credit_Card,1806.85,15,1,1,1
58.74,gas_transport,Walmart,Debit_Card,19.86,18,0,1,0
19.25,gas_transport,Amazon,Debit_Card,19.08,12,0,1,0
99.18,entertainment,Amazon,Credit_Card,10.71,18,0,1,0
67.49,entertainment,Chevron,Credit_Card,26.34,14,0,1,0
1588.39,shopping_net,Steam,Digital_Wallet,17.22,1,0,1,1
987.73,shopping_net,Chevron,Digital_Wallet,19.35,2,0,1,1
1415.93,shopping_net,Steam,Digital_Wallet,12.15,1,0,0,1
26.94,misc_net,Chevron,Debit_Card,28.43,11,0,1,0
5135.12,misc_net,Starbucks,Wire_Transfer,273.36,10,1,1,1
46.05,shopping_net,Amazon,Debit_Card,14.71,21,0,1,0
60.22,grocery_pos,Walmart,Credit_Card,28.88,15,0,1,0
4824.04,misc_net,Delta Air,Wire_Transfer,458.6,10,1,0,1
35.53,gas_transport,Chevron,Credit_Card,18.38,17,0,1,0
518.36,shopping_net,Unknown_Foreign_Store,Digital_Wallet,12.88,0,0,0,1
21.5,gas_transport,Walmart,Debit_Card,7.1,12,0,1,0
57.62,shopping_net,Walmart,Digital_Wallet,13.55,21,0,1,0
4.86,shopping_net,Amazon,Credit_Card,29.89,19,0,1,0
56.11,grocery_pos,Chevron,Credit_Card,19.18,8,0,1,0
33.91,travel,Walmart,Credit_Card,15.2,13,0,1,0
62.32,grocery_pos,Walmart,Credit_Card,26.77,15,0,1,0
14.58,grocery_pos,Amazon,Credit_Card,11.31,15,0,1,0
974.73,shopping_net,Walmart,Digital_Wallet,26.88,23,0,0,1
1119.39,shopping_net,Unknown_Foreign_Store,Digital_Wallet,38.28,2,0,1,1
76.34,entertainment,Starbucks,Digital_Wallet,25.47,20,0,1,0
736.66,shopping_net,Steam,Digital_Wallet,45.93,0,0,1,1
1515.1,shopping_net,Walmart,Digital_Wallet,41.49,0,0,0,1
3890.16,misc_net,Walmart,Wire_Transfer,350.55,10,1,1,1
62.09,entertainment,Chevron,Debit_Card,6.95,12,0,1,0
-10.91,gas_transport,Amazon,Debit_Card,28.14,17,0,1,0
5.25,gas_transport,Chevron,Debit_Card,18.05,9,0,1,0
77.26,shopping_net,Starbucks,Credit_Card,25.93,18,0,1,0
3457.81,misc_net,Chevron,Wire_Transfer,397.01,14,1,0,1
5231.02,misc_net,Steam,Wire_Transfer,241.63,10,1,0,1
67.83,grocery_pos,Amazon,Debit_Card,28.95,9,0,1,0
41.74,grocery_pos,Starbucks,Debit_Card,2.63,15,0,1,0
13.88,travel,Amazon,Debit_Card,10.8,9,0,1,0
56.79,grocery_pos,Walmart,Debit_Card,23.81,15,0,1,0
829.36,shopping_net,Delta Air,Digital_Wallet,37.25,2,0,1,1
55.25,grocery_pos,Amazon,Debit_Card,5.92,11,0,1,0
519.43,travel,Delta Air,Credit_Card,4299.47,23,1,1,1
52.17,misc_net,Starbucks,Credit_Card,24.21,12,0,1,0
27.07,travel,Amazon,Credit_Card,17.44,16,0,1,0
1818.1,shopping_net,Chevron,Digital_Wallet,8.16,1,0,1,1
45.77,grocery_pos,Walmart,Debit_Card,22.41,10,0,1,0
470.81,travel,Delta Air,Credit_Card,3916.71,21,1,0,1
280.3,travel,Amazon,Credit_Card,3936.13,12,1,1,1
5270.33,misc_net,Amazon,Wire_Transfer,488.87,10,1,0,1
35.36,gas_transport,Chevron,Debit_Card,21.51,12,0,1,0
4.53,travel,Amazon,Debit_Card,4.9,19,0,1,0
291.26,travel,Steam,Credit_Card,4775.56,11,1,0,1
448.19,travel,Walmart,Credit_Card,4007.15,14,1,1,1
34.12,grocery_pos,Walmart,Credit_Card,10.08,19,0,1,0
817.24,shopping_net,Amazon,Digital_Wallet,25.36,0,0,1,1
1330.78,shopping_net,Steam,Digital_Wallet,47.02,0,0,1,1
63.47,grocery_pos,Starbucks,Credit_Card,26.29,14,0,1,0
510.73,travel,Delta Air,Credit_Card,4692.03,7,1,1,1
5811.45,misc_net,Walmart,Wire_Transfer,388.33,13,1,0,1
5236.22,misc_net,Delta Air,Wire_Transfer,319.34,10,1,0,1
-8.84,gas_transport,Amazon,Credit_Card,19.1,8,0,1,0
29.92,gas_transport,Chevron,Credit_Card,23.15,15,0,1,0
66.96,gas_transport,Starbucks,Debit_Card,0.83,17,0,1,0
3947.13,misc_net,Steam,Wire_Transfer,176.68,10,1,1,1
2.07,shopping_net,Walmart,Credit_Card,24.66,14,0,1,0
5566.98,misc_net,Starbucks,Wire_Transfer,336.59,15,1,1,1
1144.98,shopping_net,Starbucks,Digital_Wallet,9.19,0,0,1,1
476.11,travel,Chevron,Credit_Card,2101.73,14,1,0,1
1607.91,shopping_net,Delta Air,Digital_Wallet,38.67,1,0,1,1
4.02,misc_net,Starbucks,Debit_Card,7.74,18,0,1,0
41.43,grocery_pos,Walmart,Debit_Card,19.06,9,0,1,0
1337.72,shopping_net,Starbucks,Digital_Wallet,26.22,2,0,0,1
16.52,gas_transport,Walmart,Credit_Card,22.3,8,0,1,0
259.25,travel,Steam,Credit_Card,4741.73,21,1,0,1
61.13,gas_transport,Starbucks,Digital_Wallet,18.71,9,0,1,0
1530.81,shopping_net,Chevron,Digital_Wallet,42.4,1,0,0,1
45.62,misc_net,Starbucks,Debit_Card,27.01,20,0,1,0
191.57,travel,Walmart,Credit_Card,696.03,18,1,0,1
6861.91,misc_net,Unknown_Foreign_Store,Wire_Transfer,319.74,12,1,1,1
733.83,shopping_net,Amazon,Digital_Wallet,6.38,1,0,1,1
88.37,gas_transport,Starbucks,Credit_Card,24.5,8,0,1,0
5486.62,misc_net,Unknown_Foreign_Store,Wire_Transfer,470.91,9,1,0,1
6230.48,misc_net,Starbucks,Wire_Transfer,324.89,12,1,1,1
75.32,grocery_pos,Walmart,Debit_Card,27.13,14,0,1,0
503.52,travel,Delta Air,Credit_Card,1513.05,11,1,1,1
988.24,shopping_net,Unknown_Foreign_Store,Digital_Wallet,41.8,2,0,1,1
416.5,travel,Delta Air,Credit_Card,2182.08,5,1,1,1
48.17,grocery_pos,Walmart,Credit_Card,13.4,9,0,1,0
6130.87,misc_net,Starbucks,Wire_Transfer,133.92,11,1,0,1
18.53,travel,Starbucks,Digital_Wallet,19.55,14,0,1,0
62.93,misc_net,Walmart,Credit_Card,2.06,8,0,1,0
1379.96,shopping_net,Walmart,Digital_Wallet,48.59,1,0,1,1
311.46,travel,Starbucks,Credit_Card,4335.06,20,1,0,1
23.52,travel,Amazon,Credit_Card,14.9,17,0,1,0
1174.28,shopping_net,Chevron,Digital_Wallet,25.33,1,0,1,1
54.17,gas_transport,Starbucks,Digital_Wallet,22.05,12,0,1,0
25.23,travel,Amazon,Credit_Card,7.64,20,0,1,0
32.12,misc_net,Starbucks,Digital_Wallet,13.12,11,0,1,0
913.85,shopping_net,Chevron,Digital_Wallet,35.22,1,0,0,1
59.1,gas_transport,Walmart,Credit_Card,29.86,12,0,1,0
1181.83,shopping_net,Chevron,Digital_Wallet,46.72,0,0,1,1
24.09,grocery_pos,Amazon,Credit_Card,25.82,11,0,1,0
32.45,gas_transport,Chevron,Credit_Card,5.68,12,0,1,0
1113.99,shopping_net,Delta Air,Digital_Wallet,32.03,2,0,0,1
508.85,travel,Steam,Credit_Card,3756.86,22,1,1,1
14.76,grocery_pos,Amazon,Credit_Card,5.21,9,0,1,0
35.67,travel,Walmart,Digital_Wallet,6.71,20,0,1,0
7.19,grocery_pos,Walmart,Credit_Card,10.26,17,0,1,0
66.41,gas_transport,Starbucks,Credit_Card,20.14,14,0,1,0
1716.63,shopping_net,Steam,Digital_Wallet,33.57,0,0,1,1
28.52,grocery_pos,Amazon,Debit_Card,20.58,12,0,1,0
46.22,gas_transport,Starbucks,Credit_Card,28.25,17,0,1,0
17.59,grocery_pos,Walmart,Digital_Wallet,18.13,13,0,1,0
22.57,gas_transport,Chevron,Credit_Card,19.2,21,0,1,0
1453.47,shopping_net,Starbucks,Digital_Wallet,47.46,0,0,0,1
4580.97,misc_net,Walmart,Wire_Transfer,226.26,12,1,1,1
22.54,grocery_pos,Starbucks,Credit_Card,6.98,19,0,1,0
52.09,misc_net,Starbucks,Credit_Card,10.36,17,0,1,0
727.22,shopping_net,Chevron,Digital_Wallet,28.75,23,0,1,1
4260.53,misc_net,Starbucks,Wire_Transfer,382.36,14,1,0,1
1196.22,shopping_net,Delta Air,Digital_Wallet,41.2,0,0,0,1
37.3,grocery_pos,Chevron,Credit_Card,10.92,9,0,1,0
54.32,shopping_net,Walmart,Debit_Card,10.1,20,0,1,0
5799.29,misc_net,Steam,Wire_Transfer,382.81,14,1,1,1
1225.64,shopping_net,Chevron,Digital_Wallet,23.55,0,0,0,1
286.11,travel,Delta Air,Credit_Card,1135.91,6,1,0,1
345.45,travel,Steam,Credit_Card,3224.37,22,1,0,1
10.28,shopping_net,Walmart,Debit_Card,22.68,14,0,1,0
36.25,gas_transport,Amazon,Debit_Card,14.09,15,0,1,0
5240.02,misc_net,Starbucks,Wire_Transfer,308.07,14,1,1,1
54.85,travel,Starbucks,Digital_Wallet,6.27,17,0,1,0
87.78,travel,Amazon,Credit_Card,22.51,14,0,1,0
9.09,gas_transport,Starbucks,Credit_Card,10.45,13,0,1,0
1064.62,shopping_net,Steam,Digital_Wallet,49.17,0,0,1,1
414.67,travel,Chevron,Credit_Card,4941.54,10,1,0,1
822.37,shopping_net,Amazon,Digital_Wallet,12.87,2,0,0,1
65.83,travel,Walmart,Credit_Card,9.61,10,0,1,0
36.83,gas_transport,Amazon,Debit_Card,4.84,21,0,1,0
5036.66,misc_net,Unknown_Foreign_Store,Wire_Transfer,236.68,10,1,0,1
514.18,travel,Steam,Credit_Card,2302.75,15,1,1,1
210.18,shopping_net,Amazon,Digital_Wallet,36.14,23,0,0,1
4344.03,misc_net,Starbucks,Wire_Transfer,256.9,15,1,1,1
6858.41,misc_net,Chevron,Wire_Transfer,189.67,9,1,0,1
446.93,shopping_net,Steam,Digital_Wallet,47.23,23,0,1,1
5113.61,misc_net,Amazon,Wire_Transfer,380.07,15,1,0,1
1102.67,shopping_net,Amazon,Digital_Wallet,8.42,2,0,1,1
58.91,grocery_pos,Starbucks,Debit_Card,26.98,8,0,1,0
33.79,shopping_net,Amazon,Debit_Card,9.07,15,0,1,0
39.42,grocery_pos,Starbucks,Credit_Card,17.26,20,0,1,0
30.37,travel,Walmart,Digital_Wallet,9.47,10,0,1,0
49.76,entertainment,Walmart,Digital_Wallet,28.93,8,0,1,0
454.29,travel,Delta Air,Credit_Card,2419.81,6,1,1,1
16.94,shopping_net,Chevron,Credit_Card,13.37,9,0,1,0
465.35,travel,Starbucks,Credit_Card,1509.91,8,1,1,1
833.85,shopping_net,Amazon,Digital_Wallet,12.96,1,0,1,1
28.85,grocery_pos,Starbucks,Debit_Card,22.75,15,0,1,0
1363.61,shopping_net,Delta Air,Digital_Wallet,28.67,0,0,1,1
28.83,gas_transport,Amazon,Credit_Card,2.63,13,0,1,0
900.06,shopping_net,Amazon,Digital_Wallet,8.37,0,0,1,1
1526.08,shopping_net,Steam,Digital_Wallet,5.54,2,0,0,1
45.53,travel,Chevron,Credit_Card,8.72,19,0,1,0
1231.84,shopping_net,Amazon,Digital_Wallet,33.76,23,0,1,1
46.53,gas_transport,Walmart,Credit_Card,5.41,20,0,1,0
79.06,shopping_net,Chevron,Credit_Card,4.52,11,0,1,0
17.79,grocery_pos,Amazon,Credit_Card,8.96,21,0,1,0
24.76,gas_transport,Walmart,Digital_Wallet,22.51,10,0,1,0
38.93,gas_transport,Starbucks,Credit_Card,13.63,8,0,1,0
6211.79,misc_net,Amazon,Wire_Transfer,337.24,14,1,1,1
30.39,shopping_net,Amazon,Debit_Card,15.15,19,0,1,0
52.56,grocery_pos,Chevron,Debit_Card,13.22,11,0,1,0
10.83,entertainment,Chevron,Digital_Wallet,23.4,9,0,1,0
994.74,shopping_net,Unknown_Foreign_Store,Digital_Wallet,22.76,23,0,1,1
121.55,travel,Walmart,Debit_Card,3.3,18,0,1,0
3701.2,misc_net,Walmart,Wire_Transfer,418.69,15,1,0,1
1834.68,shopping_net,Unknown_Foreign_Store,Digital_Wallet,13.36,23,0,0,1
49.29,entertainment,Walmart,Credit_Card,24.0,12,0,1,0
1176.05,shopping_net,Chevron,Digital_Wallet,25.34,23,0,1,1
966.38,shopping_net,Walmart,Digital_Wallet,26.69,2,0,1,1
7259.6,misc_net,Amazon,Wire_Transfer,301.42,15,1,0,1
524.25,travel,Walmart,Credit_Card,1493.11,23,1,0,1
45.71,gas_transport,Starbucks,Debit_Card,9.49,16,0,1,0
1066.51,shopping_net,Amazon,Digital_Wallet,28.15,23,0,1,1
27.14,grocery_pos,Starbucks,Credit_Card,21.0,20,0,1,0
65.74,gas_transport,Amazon,Credit_Card,13.25,19,0,1,0
24.79,grocery_pos,Chevron,Credit_Card,3.12,13,0,1,0
49.73,gas_transport,Amazon,Credit_Card,18.8,19,0,1,0
13.01,grocery_pos,Walmart,Credit_Card,15.37,16,0,1,0
6658.26,misc_net,Walmart,Wire_Transfer,124.03,15,1,1,1
374.93,travel,Starbucks,Credit_Card,4016.85,18,1,1,1
40.72,gas_transport,Walmart,Credit_Card,9.97,10,0,1,0
392.36,travel,Amazon,Credit_Card,4395.37,1,1,0,1
424.76,travel,Delta Air,Credit_Card,2478.01,16,1,0,1
72.43,grocery_pos,Amazon,Credit_Card,7.39,8,0,1,0
896.45,shopping_net,Unknown_Foreign_Store,Digital_Wallet,8.54,0,0,1,1
23.62,gas_transport,Walmart,Credit_Card,10.93,17,0,1,0
326.51,travel,Steam,Credit_Card,3050.69,18,1,0,1
62.85,grocery_pos,Starbucks,Credit_Card,17.53,13,0,1,0
41.51,travel,Chevron,Digital_Wallet,3.77,21,0,1,0
-2.22,shopping_net,Chevron,Digital_Wallet,28.79,18,0,1,0
25.67,misc_net,Chevron,Credit_Card,10.98,16,0,1,0
28.54,travel,Amazon,Debit_Card,4.62,15,0,1,0
70.6,grocery_pos,Starbucks,Credit_Card,19.79,18,0,1,0
170.55,travel,Unknown_Foreign_Store,Credit_Card,4882.73,3,1,1,1
1211.07,shopping_net,Walmart,Digital_Wallet,31.15,0,0,0,1
452.01,travel,Delta Air,Credit_Card,597.38,0,1,1,1
4811.01,misc_net,Starbucks,Wire_Transfer,285.79,9,1,1,1
8.28,travel,Chevron,Debit_Card,3.82,16,0,1,0
278.54,travel,Walmart,Credit_Card,4163.81,5,1,0,1
1540.69,shopping_net,Steam,Digital_Wallet,12.76,0,0,1,1
117.29,gas_transport,Starbucks,Debit_Card,4.64,8,0,1,0
51.77,gas_transport,Starbucks,Debit_Card,29.65,9,0,1,0
661.42,travel,Amazon,Credit_Card,3306.38,23,1,0,1
1434.63,shopping_net,Unknown_Foreign_Store,Digital_Wallet,22.19,2,0,1,1
4616.01,misc_net,Amazon,Wire_Transfer,355.61,15,1,1,1
32.38,misc_net,Chevron,Credit_Card,14.13,14,0,1,0
51.2,gas_transport,Walmart,Credit_Card,4.88,9,0,1,0
44.88,misc_net,Starbucks,Debit_Card,7.72,18,0,1,0
38.65,entertainment,Amazon,Credit_Card,8.4,15,0,1,0
36.8,grocery_pos,Amazon,Credit_Card,13.11,21,0,1,0
5074.68,misc_net,Steam,Wire_Transfer,387.38,14,1,1,1
406.12,travel,Delta Air,Credit_Card,2119.24,19,1,1,1
37.41,entertainment,Starbucks,Credit_Card,3.62,11,0,1,0
4113.87,misc_net,Amazon,Wire_Transfer,297.07,13,1,1,1
30.84,grocery_pos,Amazon,Debit_Card,21.96,9,0,1,0
70.72,travel,Walmart,Credit_Card,27.51,21,0,1,0
423.34,travel,Unknown_Foreign_Store,Credit_Card,4771.3,14,1,1,1
5411.52,misc_net,Walmart,Wire_Transfer,402.18,11,1,1,1
44.4,grocery_pos,Chevron,Credit_Card,21.08,20,0,1,0
98.72,shopping_net,Walmart,Debit_Card,12.9,13,0,1,0
37.36,shopping_net,Chevron,Digital_Wallet,16.07,14,0,1,0
35.29,grocery_pos,Starbucks,Credit_Card,21.03,14,0,1,0
37.23,grocery_pos,Starbucks,Debit_Card,25.41,18,0,1,0
83.93,grocery_pos,Amazon,Credit_Card,0.5,17,0,1,0
1127.7,shopping_net,Unknown_Foreign_Store,Digital_Wallet,37.6,23,0,1,1
57.65,shopping_net,Chevron,Credit_Card,20.57,20,0,1,0
45.83,gas_transport,Chevron,Digital_Wallet,24.73,9,0,1,0
35.48,grocery_pos,Chevron,Credit_Card,17.69,8,0,1,0
32.68,misc_net,Amazon,Credit_Card,10.96,17,0,1,0
39.69,gas_transport,Chevron,Credit_Card,14.85,16,0,1,0
31.28,grocery_pos,Amazon,Credit_Card,14.26,15,0,1,0
74.15,gas_transport,Walmart,Debit_Card,28.86,8,0,1,0
928.37,shopping_net,Starbucks,Digital_Wallet,14.12,2,0,0,1
60.23,misc_net,Amazon,Credit_Card,10.01,10,0,1,0
27.11,grocery_pos,Starbucks,Digital_Wallet,8.25,11,0,1,0
5913.11,misc_net,Chevron,Wire_Transfer,328.04,14,1,0,1
496.22,travel,Delta Air,Credit_Card,2329.42,11,1,1,1
1576.6,shopping_net,Delta Air,Digital_Wallet,39.72,1,0,0,1
588.44,travel,Starbucks,Credit_Card,2745.87,9,1,1,1
75.23,gas_transport,Chevron,Debit_Card,25.99,19,0,1,0
5480.18,misc_net,Unknown_Foreign_Store,Wire_Transfer,441.95,15,1,1,1
4781.08,misc_net,Starbucks,Wire_Transfer,161.48,15,1,1,1
28.49,entertainment,Walmart,Credit_Card,14.27,8,0,1,0
58.56,shopping_net,Amazon,Credit_Card,12.3,19,0,1,0
17.76,grocery_pos,Amazon,Credit_Card,7.94,19,0,1,0
94.92,grocery_pos,Amazon,Credit_Card,18.43,16,0,1,0
53.56,entertainment,Chevron,Debit_Card,3.03,12,0,1,0
558.3,travel,Walmart,Credit_Card,3990.31,7,1,0,1
61.51,grocery_pos,Chevron,Debit_Card,5.94,14,0,1,0
49.99,grocery_pos,Starbucks,Credit_Card,20.59,15,0,1,0
506.18,travel,Steam,Credit_Card,3150.77,7,1,0,1
561.2,travel,Steam,Credit_Card,3019.04,21,1,1,1
301.76,travel,Starbucks,Credit_Card,3126.11,11,1,0,1
1151.15,shopping_net,Steam,Digital_Wallet,21.79,2,0,0,1
59.3,grocery_pos,Walmart,Credit_Card,27.27,14,0,1,0
35.99,entertainment,Chevron,Debit_Card,4.6,17,0,1,0
1090.68,shopping_net,Chevron,Digital_Wallet,49.74,23,0,1,1
